id,titel,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
001U2oRRZXrLbeOJMduXSc,PAPARAZZI,party,0.841,0.558,4,-5.028,1,0.188,0.128,0.00361,0.102,0.516,75.005,148000,4
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,rock,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4
00FRYCC99BHS1ewIqteTwh,hunger,indie_alt,0.586,0.74,2,-6.132,1,0.0398,0.311,0.000353,0.0878,0.473,145.871,191297,4
00OQVltax4uGNaXHfAlj2Y,Honey,alternative,0.434,0.758,1,-9.313,1,0.0346,0.000109,0.11,0.209,0.245,100.03,183642,4
00QhDAu0EO28Knjq4C3Nhk,Vergessen,rock,0.558,0.829,6,-5.426,1,0.0354,0.00193,3.07e-05,0.516,0.961,160.031,141022,4
00YMhO4tBg7dEvZI8ZJlhE,Trust the Process,edm_dance,0.739,0.643,7,-9.029,1,0.0642,0.0107,0.923,0.0951,0.368,125.011,357120,4
00aNyosmX1zpR0TjJV0Dte,Ride,edm_dance,0.741,0.865,0,-11.851,1,0.04,0.00336,0.911,0.114,0.303,124.013,435836,4
00iV838pAEznn1qLoG8Rxy,Children of the Grave,metal,0.319,0.65,6,-13.927,1,0.0375,0.0762,0.129,0.0962,0.383,149.886,317206,4
00qBDRxq3cl7R827g8rbzC,Tokyo Streets,edm_dance,0.694,0.909,2,-2.503,1,0.0313,0.0804,0.924,0.104,0.105,127.986,105000,4
00sydAz6PeOxYzwG1dRIPi,Search and Destroy - Iggy Pop Mix,alternative,0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133,4
00teOLvfWGXrIlsWgai5ye,Uber,hiphop,0.883,0.633,11,-6.811,0,0.199,0.0973,0.000976,0.123,0.321,110.021,187117,4
011994KfBhAaFSnalkjpd1,Make Believe,edm_dance,0.591,0.739,6,-7.573,1,0.0606,0.0128,7.97e-06,0.101,0.406,122.929,192195,4
013PVeWEFQio3XHFH9rIC6,The Drop,party,0.869,0.838,0,-4.515,0,0.0663,0.0113,0.269,0.0583,0.717,122.018,121987,4
013gFBH6Qqs79Zbj7WOdsu,Rage,metal,0.423,0.933,4,-5.606,0,0.157,0.000327,0.000855,0.192,0.0812,150.049,216400,4
018xarXmBSWkxODkNHf78I,Dunkelblau,hiphop,0.924,0.452,7,-10.039,1,0.208,0.221,7.65e-05,0.136,0.177,134.99,227892,4
01CUo2gjV0mBB5EBHOfxTB,End of Me (feat. Rivers Cuomo),rock,0.587,0.888,7,-2.688,1,0.0507,0.0123,0.0,0.04,0.758,148.063,225745,4
01CY7LwNowtoiakTGuTBqa,Star Trip,hiphop,0.637,0.392,0,-10.119,1,0.0985,0.048,0.85,0.0661,0.311,78.192,170962,4
01I8aPBUJIMzCtHsCVvmq5,SUVs,hiphop,0.815,0.266,1,-8.742,1,0.34,0.327,0.0,0.0938,0.628,139.977,162027,4
01J7GlzTYwAp0kHGwLrHiB,For A Moment,edm_dance,0.651,0.556,6,-9.001,0,0.0395,0.000803,0.902,0.0528,0.141,121.001,356529,4
01JudCVH6imG6Zh4aHBTAq,Hotel,pop,0.618,0.793,5,-4.826,1,0.0679,0.0626,0.0,0.149,0.424,112.944,155350,4
01Q4wU19hamqnhNjtuvTyI,Nobody's Fool,metal,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.163,0.149,67.197,287400,4
01S9Y2qZZkQs23TJmTmmUb,Ruin,pop,0.752,0.668,6,-5.853,1,0.0406,0.163,6.67e-05,0.0861,0.329,101.034,210280,4
01UYpHuzHi4eB9PAbDoPY2,Summer Breeze,rock,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4
01VCUpI3pgLJXDabXHUlyG,Perspective,edm_dance,0.87,0.441,8,-8.918,1,0.284,0.0153,0.778,0.0792,0.306,126.012,499529,4
