id,titel,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0038p5duwZ3euoTDxmizmF,I Don't Know You,metal,0.421,0.949,5,-2.215,0,0.0932,0.000189,0.00994,0.448,0.27,148.048,221988,4
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,rock,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4
009RK7haVVIsa0seuyNSFR,Sous le soleil de Bodega,rock,0.668,0.913,5,-4.449,0,0.0573,0.142,7.24e-06,0.14,0.594,102.841,206893,4
00CKqQSBhAr2gePvyIzk0P,Even Angels Cry,metal,0.563,0.414,10,-10.914,1,0.027,0.0276,0.0,0.155,0.193,132.107,287293,4
00FRYCC99BHS1ewIqteTwh,hunger,indie_alt,0.586,0.74,2,-6.132,1,0.0398,0.311,0.000353,0.0878,0.473,145.871,191297,4
00YMhO4tBg7dEvZI8ZJlhE,Trust the Process,edm_dance,0.739,0.643,7,-9.029,1,0.0642,0.0107,0.923,0.0951,0.368,125.011,357120,4
00i9VF7sjSaTqblAuKFBDO,Talk To Me (feat. Lzzy Hale),metal,0.409,0.877,2,-5.865,0,0.0602,0.00329,0.0,0.222,0.403,177.928,208021,4
00qBDRxq3cl7R827g8rbzC,Tokyo Streets,edm_dance,0.694,0.909,2,-2.503,1,0.0313,0.0804,0.924,0.104,0.105,127.986,105000,4
00qpe8j0FiQhMzPP8asBwP,Be Easy,hiphop,0.584,0.732,1,-5.276,0,0.236,0.00198,0.0,0.116,0.361,155.033,198027,4
00sydAz6PeOxYzwG1dRIPi,Search and Destroy - Iggy Pop Mix,alternative,0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133,4
013PVeWEFQio3XHFH9rIC6,The Drop,edm_dance,0.869,0.838,0,-4.515,0,0.0663,0.0113,0.269,0.0583,0.717,122.018,121987,4
01CuCSqlNItevX7F1GcopF,So Wat Cha Sayin',hiphop,0.796,0.701,7,-10.857,1,0.316,0.178,0.000238,0.157,0.475,102.08,297333,4
01J7GlzTYwAp0kHGwLrHiB,For A Moment,edm_dance,0.651,0.556,6,-9.001,0,0.0395,0.000803,0.902,0.0528,0.141,121.001,356529,4
01JudCVH6imG6Zh4aHBTAq,Hotel,pop,0.618,0.793,5,-4.826,1,0.0679,0.0626,0.0,0.149,0.424,112.944,155350,4
01M7x4t9oymyXHxs3hxjF1,Every Day,edm_dance,0.824,0.881,6,-4.124,0,0.0615,0.0142,0.00103,0.0735,0.764,124.981,156481,4
01UYpHuzHi4eB9PAbDoPY2,Summer Breeze,rock,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4
01WdfTbxhe3RKsnWSoak4X,Animal,indie_alt,0.747,0.613,7,-9.782,0,0.0405,0.257,0.619,0.0704,0.106,119.942,203227,4
01dPcsbep0CGpj4VZ2OWKc,Dismantled,metal,0.553,0.736,8,-3.669,1,0.039,0.000522,0.000702,0.106,0.393,90.019,191467,4
01kfSdF9zfcDLri5sSWEoL,RAVE,pop,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918,169245,4
01m2rqKFTsTaWa2FrcsdSw,No Mercy,indie_alt,0.638,0.821,0,-7.187,1,0.0353,0.00487,0.000454,0.0631,0.641,104.507,217533,4
01mRJG8JVQnzGpVnGhNQKC,Gone Away - 2021,rock,0.5,0.36,2,-6.643,1,0.0269,0.301,0.0,0.0906,0.0972,102.716,196147,4
01oKml0Y3E0ASCSYgcYgfe,Wind Me Up,edm_dance,0.518,0.705,9,-5.569,0,0.0626,0.00322,0.00026,0.188,0.184,195.095,130620,3
01v7kv0RTVaX4Vs8GcOGOP,This Is War,alternative,0.402,0.723,6,-5.26,1,0.0579,0.0663,2e-06,0.233,0.224,160.047,326983,4
023OVLNzXhX0j7CxswUt6D,Cheerleader - Felix Jaehn Remix Radio Edit,pop,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560,4
02Cj2MSlERvamTj5A7Zi0P,Vette Motors,hiphop,0.83,0.644,10,-5.431,0,0.407,0.0298,0.0,0.11,0.227,155.103,173419,4
02GwPAncasVL82yC7y2hmN,Raise Up,hiphop,0.735,0.844,1,-5.215,1,0.167,0.142,0.0,0.319,0.742,156.069,286427,4
02MWAaffLxlfxAUY7c5dvx,Heat Waves,pop,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
02RkunUrCBLE5J6jY56QH3,Never Say Never,indie_alt,0.601,0.789,4,-8.73,1,0.0611,0.000596,0.104,0.248,0.923,156.459,353667,4
02U6RsotxeDaNqGORs04VR,Cry Cry,indie_alt,0.711,0.482,9,-15.306,1,0.051,0.762,0.214,0.167,0.753,140.04,129286,4
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),party,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840,4
02lj351gqOCQwmUuDsa241,Better on My Own,edm_dance,0.781,0.742,5,-5.141,1,0.0477,0.0699,0.000449,0.389,0.453,115.994,144828,4
02nTpchENdZ4Nm8AfTmrFv,Conceited,pop,0.978,0.683,8,-5.743,1,0.0981,0.0634,5.88e-05,0.523,0.419,118.041,146441,4
02pzOX3OB9N8psnEpmeD3a,Someone Else,edm_dance,0.702,0.67,1,-11.303,1,0.0622,0.00268,0.856,0.0597,0.242,124.0,378000,4
02rds5Tq11O8DvnL5nVRU2,Lightyears,alternative,0.693,0.565,4,-12.025,0,0.0424,0.75,0.893,0.12,0.186,99.997,256800,4
